id,time,V9FFFS,V39FFFS,V45FFFS,V46FFFS,V48FFFS,V52FFFS,V58FFFS,V59FFFS,V1BIS,V2BIS,V6BIS,V10BIS,V17BIS,V18BIS,V21BIS,V29BIS,V33BIS,V43BIS,V47BIS,V50BIS,V56BIS,V57BIS,V60BIS,V61BIS,V63BIS,V14RI,V15RI,V32RI,V35RI,V5GDP,V12GDP,V20GDP,V31GDP,V41GDP,V54GDP,V65GDP,V4RR,V8RR,V16RR,V23RR,V25RR,V30RR,V36RR,V37RR,V22I,V27I,V28I,V38I,V40I,V44I,V51I
90,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,1,2,4,4,4,2,4,1,4,3,2,4,2,4,4,2,3,3,4,4,4,4,2,2,4,2,4,4,4,3,4,4,4,4,4,3,3,2,3,4,2,4,3,4,3,4,4,4,3,4,4,4
91,2,2,4,4,4,2,2,1,4,2,2,3,1,3,3,1,2,3,4,4,3,4,4,2,3,3,3,2,3,3,4,4,2,3,4,3,4,3,1,3,1,4,3,4,4,3,2,3,4,4,2,4
91,3,2,3,3,2,2,2,3,3,2,2,2,2,3,3,1,3,3,3,3,3,2,2,2,2,2,3,2,3,2,4,4,3,3,4,2,3,3,2,3,3,4,2,2,2,2,3,3,3,3,3,3
91,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,1,1,1,1,1,1,1,1,1,2,1,2,2,3,1,1,3,3,4,2,3,3,2,2,3,2,1,1,2,2,3,3,2,4,3,3,2,1,1,1,1,4,2,3,2,2,4,2,2,1,4,2
92,2,1,1,1,3,1,2,1,1,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,1,2,2,2,3,3,2,3,3,3,2,1,1,2,1,2,2,2,2,3,2,2,1,1,2,2
92,3,1,1,2,2,2,2,2,1,2,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,2,2,2,2,3,3,2,3,3,3,3,2,1,2,1,2,2,2,2,3,2,2,2,1,2,2
92,4,1,2,2,2,2,2,1,1,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,2,2,2,1,2,2,2,2,3,3,3,2,1,2,2
93,1,1,3,3,2,2,3,1,4,2,1,1,2,3,2,1,3,3,3,2,3,3,2,3,2,2,2,1,2,2,3,4,2,3,3,2,2,2,1,1,2,3,3,2,3,3,1,2,2,1,2,3
93,2,1,3,3,1,1,3,3,3,2,2,1,2,2,2,1,2,3,3,2,2,2,2,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,2,2,1,2,4
93,3,4,4,4,1,3,2,3,3,3,2,3,2,2,3,2,2,2,3,2,2,2,3,2,2,3,2,2,1,2,2,2,2,2,2,2,2,3,2,3,2,3,3,3,3,2,2,2,2,1,1,4
93,4,3,3,2,1,1,2,3,3,2,2,2,2,3,2,2,3,2,3,2,3,2,2,3,2,2,1,1,1,2,3,2,2,3,2,3,3,3,2,2,1,2,2,3,2,3,2,2,2,2,1,3
94,1,3,2,3,2,2,2,3,3,3,2,3,2,2,2,3,2,3,2,2,2,3,3,2,2,2,2,3,3,3,4,4,2,3,2,2,2,2,3,2,3,2,3,3,2,2,2,2,3,3,2,3
94,2,2,3,3,3,2,3,2,2,3,3,3,2,2,2,2,3,3,3,2,2,2,2,3,3,2,3,3,2,2,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
94,3,2,2,2,2,2,3,3,3,3,2,2,3,2,2,2,3,2,3,2,2,2,3,2,2,3,3,2,2,3,2,2,2,2,2,2,3,3,3,2,3,2,2,3,3,2,3,3,2,2,3,3
94,4,1,2,2,3,2,2,2,3,3,3,1,3,3,3,2,2,2,3,2,2,2,2,1,1,2,3,3,2,2,3,4,3,2,2,2,2,3,3,3,2,2,2,1,2,2,1,2,2,2,2,3
95,1,1,2,2,2,4,3,4,4,3,3,2,4,3,3,2,4,2,3,3,3,2,2,3,2,2,3,2,3,3,3,3,3,3,3,2,2,3,1,3,2,3,2,2,3,3,3,3,4,4,3,3
95,2,4,2,2,2,4,3,4,3,4,3,2,1,4,3,2,3,2,3,3,2,3,2,2,2,2,3,2,2,3,4,3,3,4,3,2,2,3,2,3,3,3,2,2,2,3,3,3,3,1,3,3
95,3,4,2,2,3,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,3,3,3,3,2,3,3,2,4,2,3,3,2,3,3,3,3,3,3,3,3
95,4,4,3,2,1,4,3,4,3,2,2,2,3,3,2,2,2,2,3,2,3,2,2,2,2,2,3,2,2,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,2,2,3,3
96,1,1,1,4,3,3,2,2,1,2,1,1,2,4,2,4,4,3,3,2,3,2,3,1,1,2,2,1,1,4,4,4,3,1,2,3,4,2,1,3,4,2,4,2,3,4,4,4,3,1,1,4
96,2,1,1,1,1,2,1,1,1,3,2,2,2,3,3,3,3,4,4,3,3,3,3,2,2,4,2,2,3,3,3,2,2,3,1,4,2,2,1,3,3,3,3,3,2,2,4,3,2,2,3,4
96,3,1,1,4,1,1,1,2,1,2,3,3,4,2,1,2,3,3,4,3,4,4,2,1,4,4,3,1,2,3,3,4,3,4,3,2,4,1,1,3,2,2,3,4,3,4,3,3,3,2,4,4
96,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,1,1,1,2,2,1,2,3,1,2,1,2,2,2,2,1,3,2,3,2,3,2,2,2,2,2,2,2,1,3,3,3,3,4,3,3,3,1,3,3,2,3,2,3,2,2,2,2,1,1,3,3
97,2,2,1,1,2,1,1,4,1,2,1,2,2,2,2,1,2,1,3,2,2,3,1,2,1,3,2,2,2,3,3,3,3,4,3,3,3,1,1,3,2,3,2,2,3,2,1,2,1,1,4,3
97,3,1,2,1,2,1,1,2,2,2,1,2,2,2,1,1,2,2,4,2,2,2,1,1,2,2,2,1,1,1,3,3,3,3,3,3,3,1,2,3,2,2,1,3,2,2,1,2,1,1,3,3
97,4,1,1,1,1,1,1,1,1,2,1,2,3,2,2,2,2,3,4,3,3,3,1,2,2,3,2,1,2,3,4,4,3,4,3,4,4,1,2,2,2,2,2,3,4,1,2,1,2,1,2,4
98,1,1,1,2,1,3,1,4,3,3,1,2,3,3,3,2,2,1,4,2,3,2,2,2,2,2,3,2,2,3,4,4,3,3,3,4,3,4,3,4,3,4,4,4,4,3,2,2,3,1,4,4
98,2,1,2,3,1,2,1,2,2,2,2,2,3,3,2,2,1,1,2,3,3,2,1,2,3,2,1,2,2,2,3,4,4,4,3,3,3,3,2,3,3,4,3,3,3,3,1,1,2,1,4,4
98,3,2,2,2,1,2,2,1,2,3,2,2,3,3,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,3,4,3,2,3,3,3,3,2,3,3,4,3,4,3,2,1,1,2,1,4,3
98,4,1,2,2,1,2,3,1,4,3,3,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,4,3,3,3,4,3,4,3,4,3,4,3,4,4,2,2,2,3,1,4,4
99,1,1,2,2,1,2,2,2,1,2,1,2,2,4,3,2,2,3,3,2,2,2,2,2,1,3,2,2,3,4,2,3,3,3,3,2,2,2,2,3,1,3,1,3,3,2,1,3,2,2,2,4
99,2,1,1,2,1,2,1,1,1,2,1,2,1,2,2,1,1,1,2,2,1,2,1,2,1,3,2,2,1,2,3,3,2,1,3,2,3,1,1,3,1,2,1,2,1,1,1,1,2,1,1,3
99,3,2,2,2,2,1,2,2,1,2,1,1,2,2,3,2,1,2,3,2,2,2,1,3,1,3,2,2,2,2,3,3,3,3,3,2,3,2,1,2,1,3,1,3,1,1,1,2,2,2,2,3
99,4,2,1,2,2,2,2,1,1,2,1,1,2,2,2,1,2,2,2,1,2,1,1,3,1,3,3,2,3,2,4,3,4,3,3,3,4,2,1,3,1,3,2,4,2,2,1,2,2,2,1,4
100,1,2,3,3,3,2,1,1,1,3,2,2,4,4,2,1,2,2,4,2,3,4,3,2,3,3,3,2,3,4,4,4,4,4,4,4,3,1,2,3,1,4,4,4,4,2,2,3,4,2,4,4
100,2,1,3,2,2,2,2,3,2,3,1,2,3,4,3,2,2,2,4,1,3,3,3,1,2,3,4,3,3,4,4,4,4,4,4,3,3,4,2,4,2,4,4,4,4,3,3,3,4,3,4,4
100,3,2,3,3,1,2,3,3,2,3,2,2,3,4,3,1,2,1,4,2,3,3,3,1,2,2,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,3,4,3,4,4
100,4,1,3,2,1,3,2,3,2,2,2,1,3,4,2,1,2,1,2,1,2,2,3,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,3,2,4,2,3,4
